system,layout,gran,query,selectivity,span,files_total,files_read,files_pct,n_iters,runtime_trimmed_s,runtime_median_s,runtime_min_s,answer
duckdb_iceberg_rest,L4s,compact,q511,hour,1 hour,24,24,100.0,3,0.0821474169933935,0.0821474169933935,0.0758172500063665,48
duckdb_iceberg_rest,L4s,compact,q57,day,1 day,24,48,200.0,3,0.2225792079989332,0.2225792079989332,0.2175470420042984,4
duckdb_iceberg_rest,L4s,compact,q58,day,1 day,24,24,100.0,3,0.2780939170042984,0.2780939170042984,0.2778146659984486,95
duckdb_iceberg_rest,L4s,compact,q59,day,1 day,24,24,100.0,3,0.5369440830108942,0.5369440830108942,0.5301809999946272,112
duckdb_iceberg_rest,L4s,compact,q510,day,1 day,24,24,100.0,3,0.4556745000008959,0.4556745000008959,0.4317070410033921,193
duckdb_iceberg_rest,L4s,compact,q511,day,1 day,24,24,100.0,3,0.4813593330036383,0.4813593330036383,0.4771465840021847,162
duckdb_iceberg_rest,L4s,compact,q57,week,1 week,24,48,200.0,3,0.3376466670015361,0.3376466670015361,0.3361174169986043,4
duckdb_iceberg_rest,L4s,compact,q58,week,1 week,24,24,100.0,3,1.0909527499898104,1.0909527499898104,1.0840714590012794,165
duckdb_iceberg_rest,L4s,compact,q59,week,1 week,24,24,100.0,3,2.833476250001695,2.833476250001695,2.829224000000977,620
duckdb_iceberg_rest,L4s,compact,q510,week,1 week,24,24,100.0,3,2.710111667009187,2.710111667009187,2.5624357920023613,343
duckdb_iceberg_rest,L4s,compact,q511,week,1 week,24,24,100.0,3,2.7064303750084946,2.7064303750084946,2.62545766599942,264
