### [09:12:46] build L2 daily @ 50km (tile=1000, matches original tile)
Building L2 for 2026-01 from L0=data/L0 → data/layouts_daily
  L2: 376 candidate region cells × 31 day(s) (granularity=daily)
  L2 [71/302] region_x=12/region_y=123 rows=147723  sources=31
  L2 [72/302] region_x=12/region_y=124 rows=169343  sources=31
  L2 [73/302] region_x=12/region_y=125 rows=55397  sources=31
  L2 [74/302] region_x=12/region_y=126 rows=25192  sources=31
  L2 [75/302] region_x=12/region_y=127 rows=257211  sources=31
  L2 [76/302] region_x=12/region_y=128 rows=156747  sources=31
  L2 [77/302] region_x=12/region_y=129 rows=13307  sources=31
  L2 [78/302] region_x=12/region_y=130 rows=512  sources=9
  L2 [79/302] region_x=12/region_y=131 rows=68  sources=7
  L2 [80/302] region_x=13/region_y=115 rows=24  sources=1
  L2 [81/302] region_x=13/region_y=119 rows=846  sources=24
  L2 [82/302] region_x=13/region_y=120 rows=250327  sources=31
  L2 [83/302] region_x=13/region_y=121 rows=50917  sources=31
  L2 [84/302] region_x=13/region_y=122 rows=5263  sources=31
  L2 [85/302] region_x=13/region_y=123 rows=7379  sources=31
  L2 [86/302] region_x=13/region_y=124 rows=51935  sources=31
  L2 [87/302] region_x=13/region_y=125 rows=185530  sources=31
  L2 [88/302] region_x=13/region_y=126 rows=215651  sources=31
  L2 [89/302] region_x=13/region_y=127 rows=260491  sources=31
  L2 [90/302] region_x=13/region_y=128 rows=35626  sources=31
  L2 [91/302] region_x=13/region_y=129 rows=160  sources=10
  L2 [92/302] region_x=14/region_y=119 rows=474  sources=26
  L2 [93/302] region_x=14/region_y=120 rows=133978  sources=31
  L2 [94/302] region_x=14/region_y=121 rows=232093  sources=31
  L2 [95/302] region_x=14/region_y=122 rows=108998  sources=31
  L2 [96/302] region_x=14/region_y=123 rows=161106  sources=31
  L2 [97/302] region_x=14/region_y=124 rows=182078  sources=31
  L2 [98/302] region_x=14/region_y=125 rows=40961  sources=31
  L2 [99/302] region_x=14/region_y=126 rows=3732  sources=31
  L2 [100/302] region_x=14/region_y=129 rows=64  sources=8
  L2 [101/302] region_x=14/region_y=130 rows=78  sources=7
  L2 [102/302] region_x=15/region_y=120 rows=1676  sources=29
  L2 [103/302] region_x=15/region_y=121 rows=164643  sources=31
  L2 [104/302] region_x=15/region_y=122 rows=123993  sources=31
  L2 [105/302] region_x=15/region_y=123 rows=3977  sources=31
  L2 [106/302] region_x=15/region_y=124 rows=1  sources=1
  L2 [107/302] region_x=15/region_y=130 rows=7  sources=3
  L2 [108/302] region_x=15/region_y=131 rows=1  sources=1
  L2 [109/302] region_x=16/region_y=100 rows=48  sources=1
  L2 [110/302] region_x=16/region_y=119 rows=3203  sources=20
  L2 [111/302] region_x=16/region_y=120 rows=17675  sources=31
  L2 [112/302] region_x=16/region_y=121 rows=81735  sources=31
  L2 [113/302] region_x=16/region_y=122 rows=288508  sources=31
  L2 [114/302] region_x=16/region_y=123 rows=14060  sources=31
  L2 [115/302] region_x=16/region_y=124 rows=1557  sources=29
  L2 [116/302] region_x=16/region_y=128 rows=8  sources=3
